scraped_at,Competition Name,Price (£),Total Tickets,Sold Tickets,Sold Percentage (%),Total Sold Value (£)
2026-06-22 09:35:54,WIN 2026 TAYLORMADE £7.5K MEGA BUNDLE #18,0.66,23999,268,1.0,176.88
2026-06-22 09:35:54,MAJOR INSTANT WIN – 2026 THIRD MAJOR #1,3.75,39999,9891,24.0,37091.25
2026-06-22 09:35:54,WIN A RANGE ROVER SPORT + £3K TITLEIST BUNDLE + £2K TAX FREE CASH #1,0.75,164999,27551,16.0,20663.25
2026-06-22 09:35:54,JUMBO JUNE INSTANT WIN #1,2.5,249999,51196,20.0,127990.0
2026-06-22 09:35:54,THE BIG CLEARANCE INSTANT WIN COMP – 50% OFF – £150K WORTH OF PRIZES #1,0.85,299999,158892,52.0,135058.2
2026-06-22 09:35:54,FREE TO PLAY: WIN A PLACE TO PLAY AT BLITZ GOLF LINCOLN #1,0.0,4999,180,3.0,0.0
2026-06-22 09:35:54,WIN TAYLORMADE SPIDER TOUR BLACK PUTTER #143,0.22,2999,786,26.0,172.92
2026-06-22 09:35:54,WIN 2026 VOKEY SM11 NICKEL WEDGES #41,3.33,359,83,23.0,276.39
2026-06-22 09:35:54,FREE TO PLAY: WIN A TAYLORMADE QI4D MEGA BUNDLE (BLITZ GOLF GIVEAWAY) #1,0.0,9999,1364,13.0,0.0
2026-06-22 09:35:54,WIN 2 X VIP TICKETS TO CADDY COMPS BLITZ GOLF ENGLAND SERIES – LINCOLN EVENT #4,0.0,4999,1056,21.0,0.0
2026-06-22 09:35:54,WIN 2026 TAYLORMADE QI4D DRIVER #42,3.75,329,48,14.0,180.0
2026-06-22 09:35:54,WIN 2026 PING G440 £3K MEGA BUNDLE #22,0.67,10999,1195,10.0,800.65
2026-06-22 09:35:54,"WIN 2026 TAYLORMADE QI4D WOODS (DRIVER, FW, HYBRID) #59",3.75,679,84,12.0,315.0
2026-06-22 09:35:54,WIN POWAKADDY FX1 ELECTRIC TROLLEY #118,0.33,3999,750,19.0,247.5
2026-06-22 09:35:54,WIN TAYLORMADE P790 IRONS (5-PW) #273,0.65,3599,718,20.0,466.7
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #354,3.75,329,23,7.0,86.25
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #353,0.33,3599,234,7.0,77.22
2026-06-22 09:35:54,WIN TAYLORMADE MG5 CHROME WEDGES #74,0.38,2999,243,8.0,92.34
2026-06-22 09:35:54,WIN 2026 FAIRWAY WOOD #94,0.75,1049,117,11.0,87.75
2026-06-22 09:35:54,WIN 2026 TAYLORMADE SPIDER TOUR X TORCHED PUTTER #6,0.25,2999,791,26.0,197.75
2026-06-22 09:35:54,WIN TAYLORMADE SPIDER 5K ZT PUTTER #77,3.75,299,28,9.0,105.0
2026-06-22 09:35:54,WIN SCOTTY CAMERON STUDIO STYLE #127,0.65,1649,70,4.0,45.5
2026-06-22 09:35:54,WIN GARMIN Z30 RANGEFINDER #6,2.65,299,27,9.0,71.55
2026-06-22 09:35:54,WIN OGIO FUSE STAND #15,0.65,799,113,14.0,73.45
2026-06-22 09:35:54,WIN 4 DOZEN PROV1 GOLF BALLS #97,0.65,799,109,14.0,70.85
2026-06-22 09:35:54,FREE TO PLAY: WIN A PLACE TO PLAY AT BLITZ GOLF LONDON #1,0.0,4999,226,5.0,0.0
2026-06-22 09:35:54,WIN 2026 PING S259 CHROME WEDGES #6,3.75,319,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 TAYLORMADE SPIDER TOUR TORCHED PUTTER #4,0.25,2999,84,3.0,21.0
2026-06-22 09:35:54,WIN 2026 TITLEIST GTS DRIVER #10,3.75,329,7,2.0,26.25
2026-06-22 09:35:54,WIN 2026 TAYLORMADE QI4D £3K BUNDLE #37,0.33,21999,709,3.0,233.97
2026-06-22 09:35:54,WIN 2026 PING G440 K WOODS BUNDLE #43,0.69,3999,65,2.0,44.85
2026-06-22 09:35:54,WIN 2026 TITLEIST SHORT GAME BUNDLE (SS) #14,3.6,599,6,1.0,21.6
2026-06-22 09:35:54,WIN TAYLORMADE P790 IRONS (5-PW) #274,0.33,7199,263,4.0,86.79
2026-06-22 09:35:54,WIN MOTOCADDY M5 GPS #2,0.33,7499,315,4.0,103.95
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #357,3.75,329,4,1.0,15.0
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #356,0.75,1599,3,1.0,2.25
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #355,0.15,7999,72,1.0,10.8
2026-06-22 09:35:54,WIN SHOTSCOPE LM1 LAUNCH MONITOR #26,1.75,349,1,1.0,1.75
2026-06-22 09:35:54,WIN 2026 VOKEY SM11 CHROME WEDGES #39,0.55,2199,67,3.0,36.85
2026-06-22 09:35:54,WIN CUSTOM MG5 BLACKOUT WEDGES W/KBS BLACK SHAFT #30,1.55,799,1,1.0,1.55
2026-06-22 09:35:54,WIN 2026 ODYSSEY DAMASCUS MILLED #11,1.55,3099,6,1.0,9.3
2026-06-22 09:35:54,WIN L.A.B DF3 #65,3.35,329,4,1.0,13.4
2026-06-22 09:35:54,WIN SCOTTY CAMERON STUDIO STYLE #128,0.55,1999,25,1.0,13.75
2026-06-22 09:35:54,WIN TAYLORMADE P SERIES UDI #10,0.22,2199,64,2.0,14.08
2026-06-22 09:35:54,WIN GARMIN S44 GPS #101,3.25,259,13,5.0,42.25
2026-06-22 09:35:54,WIN TITLEIST PLAYERS S4 #4,0.25,1799,21,1.0,5.25
2026-06-22 09:35:54,WIN 4 DOZEN TAYLORMADE TP5X PIX #19,0.85,599,53,8.0,45.05
2026-06-22 09:35:54,WIN 2026 PING G440K DRIVER #30,3.75,339,1,1.0,3.75
2026-06-22 09:35:54,WIN 2026 VOKEY SM11 NICKEL WEDGES #42,3.33,359,1,1.0,3.33
2026-06-22 09:35:54,WIN 2026 TAYLORMADE SPIDER TOUR TORCHED PUTTER #5,0.25,2999,26,1.0,6.5
2026-06-22 09:35:54,WIN 2026 TITLEIST GTS £3K MEGA BUNDLE #8,0.85,8999,191,2.0,162.35
2026-06-22 09:35:54,WIN 2026 TAYLORMADE SHORT GAME BUNDLE #3,0.33,5499,4,1.0,1.32
2026-06-22 09:35:54,WIN NAVEE BIRDIE 3 REMOTE #26,3.75,499,6,1.0,22.5
2026-06-22 09:35:54,WIN TAYLORMADE P790 IRONS (5-PW) #275,0.22,10999,107,1.0,23.54
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #359,2.75,439,0,0.0,0.0
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #358,0.15,7999,36,1.0,5.4
2026-06-22 09:35:54,WIN TAYLORMADE R7 QUAD MINI DRIVER #18,3.75,249,0,0.0,0.0
2026-06-22 09:35:54,WIN TAYLORMADE MG5 CHROME WEDGES #75,0.38,2999,44,1.0,16.72
2026-06-22 09:35:54,WIN 2026 TAYLORMADE SPIDER TOUR X TORCHED PUTTER #7,0.25,2999,82,3.0,20.5
2026-06-22 09:35:54,WIN L.A.B OZ1I HS #5,2.2,529,35,7.0,77.0
2026-06-22 09:35:54,WIN SCOTTY CAMERON STUDIO STYLE #129,0.55,1999,8,1.0,4.4
2026-06-22 09:35:54,WIN 2026 FAIRWAY WOOD #95,0.75,1049,3,1.0,2.25
2026-06-22 09:35:54,WIN BUSHNELL TOUR V7 SHIFT #28,3.75,279,0,0.0,0.0
2026-06-22 09:35:54,WIN 4 DOZEN PROV1X #82,0.33,1549,45,3.0,14.85
2026-06-22 09:35:54,WIN 2026 TAYLORMADE QI4D DRIVER #43,3.75,329,0,0.0,0.0
2026-06-22 09:35:54,WIN TAYLORMADE SPIDER TOUR BLACK PUTTER #144,3.75,199,1,1.0,3.75
2026-06-22 09:35:54,WIN 2026 VOKEY SM11 CHROME WEDGES #40,0.55,2199,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 TAYLORMADE QI4D £3K BUNDLE W/P790 IRONS #2,1.75,3999,11,1.0,19.25
2026-06-22 09:35:54,WIN 2026 TITLEIST GTS WOODS BUNDLE #2,0.33,8999,34,1.0,11.22
2026-06-22 09:35:54,WIN PING SHORT GAME BUNDLE #2,3.75,429,2,1.0,7.5
2026-06-22 09:35:54,WIN 2026 CALLAWAY QUANTUM IRONS 5-PW #17,0.75,2499,5,1.0,3.75
2026-06-22 09:35:54,WIN POWAKADDY FX1 ELECTRIC TROLLEY #119,0.66,1999,3,1.0,1.98
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #361,3.75,329,0,0.0,0.0
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #360,0.55,2199,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 CALLAWAY QUANTUM MINI DRIVER #16,0.33,2999,6,1.0,1.98
2026-06-22 09:35:54,WIN 2026 VOKEY SM11 JET BLACK WEDGES #35,0.25,4999,20,1.0,5.0
2026-06-22 09:35:54,WIN TAYLORMADE MG5 CHROME WEDGES #76,1.65,699,0,0.0,0.0
2026-06-22 09:35:54,WIN TAYLORMADE SPIDER 5K ZT PUTTER #78,0.75,1499,23,2.0,17.25
2026-06-22 09:35:54,WIN CUSTOM L.A.B DF3 ORANGE #3,3.55,339,2,1.0,7.1
2026-06-22 09:35:54,WIN 2026 ODYSSEY AI DUAL SQ2SQ JAILBIRD #18,0.22,3299,12,1.0,2.64
2026-06-22 09:35:54,WIN TITLEIST T250 UTILITY #7,0.33,1799,4,1.0,1.32
2026-06-22 09:35:54,WIN GARMIN S50 GPS #126,3.75,249,2,1.0,7.5
2026-06-22 09:35:54,WIN GARMIN Z30 RANGEFINDER #7,2.65,299,0,0.0,0.0
2026-06-22 09:35:54,WIN CALLAWAY FAIRWAY C HD BLACK CAMO STAND #1,0.65,699,5,1.0,3.25
2026-06-22 09:35:54,WIN 4 DOZEN TAYLORMADE TP5X PIX #20,0.85,599,2,1.0,1.7
2026-06-22 09:35:54,WIN 2026 TITLEIST GTS DRIVER #11,0.39,3099,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 TAYLORMADE SPIDER TOUR X TORCHED PUTTER #8,3.75,199,1,1.0,3.75
2026-06-22 09:35:54,WIN 4 DOZEN PROV1 GOLF BALLS #98,0.65,799,2,1.0,1.3
2026-06-22 09:35:54,WIN 2026 PING G440 £3K MEGA BUNDLE #23,0.67,10999,13,1.0,8.71
2026-06-22 09:35:54,"WIN 2026 TAYLORMADE QI4D WOODS (DRIVER, FW, HYBRID) #60",0.35,6999,28,1.0,9.8
2026-06-22 09:35:54,WIN 2026 TITLEIST SHORT GAME BUNDLE #15,2.4,899,0,0.0,0.0
2026-06-22 09:35:54,WIN TAYLORMADE P790 IRONS (5-PW) #276,0.75,3199,6,1.0,4.5
2026-06-22 09:35:54,WIN NAVEE BIRDIE 3 REMOTE #27,0.22,8999,10,1.0,2.2
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #364,3.75,329,0,0.0,0.0
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #363,0.65,1849,0,0.0,0.0
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #362,0.05,23999,92,1.0,4.6
2026-06-22 09:35:54,WIN LTD EDITION CALLAWAY QUANTIUM WORLD CUP MINI DRIVER #1,3.75,299,4,1.0,15.0
2026-06-22 09:35:54,WIN 2026 VOKEY SM11 NICKEL WEDGES #43,0.55,2199,10,1.0,5.5
2026-06-22 09:35:54,WIN 2026 PING S259 CHROME WEDGES #7,3.75,319,0,0.0,0.0
2026-06-22 09:35:54,WIN SCOTTY CAMERON STUDIO STYLE #130,0.55,1999,0,0.0,0.0
2026-06-22 09:35:54,WIN TAYLORMADE SPIDER TOUR BLACK PUTTER #145,0.22,2999,10,1.0,2.2
2026-06-22 09:35:54,WIN L.A.B DF3 #66,3.35,329,2,1.0,6.7
2026-06-22 09:35:54,WIN GARMIN S44 GPS #102,3.25,259,0,0.0,0.0
2026-06-22 09:35:54,WIN SHOTSCOPE PRO L5 RANGEFINDER #3,0.65,899,18,2.0,11.7
2026-06-22 09:35:54,WIN 2026 TAYLORMADE QI4D STAFF STAND #3,0.17,5399,31,1.0,5.27
2026-06-22 09:35:54,WIN 4 DOZEN TAYLORMADE TP5 PIX #20,0.85,599,2,1.0,1.7
2026-06-22 09:35:54,WIN 2026 TAYLORMADE SPIDER TOUR TORCHED PUTTER #6,0.25,2999,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 PING G440K DRIVER #32,3.75,339,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 VOKEY SM11 JET BLACK WEDGES #36,1.25,959,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 TITLEIST GTS £3K MEGA BUNDLE #9,0.39,18999,103,1.0,40.17
2026-06-22 09:35:54,"WIN 2026 CALLAWAY QUANTUM WOODS (DRIVER, FW, HYBRID) #21",0.17,14999,37,1.0,6.29
2026-06-22 09:35:54,WIN MOTOCADDY SE #5,0.35,3999,1,1.0,0.35
2026-06-22 09:35:54,WIN TAYLORMADE P790 IRONS (5-PW) #277,0.12,18999,13,1.0,1.56
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #366,3.35,359,0,0.0,0.0
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #365,0.1,11999,1,1.0,0.1
2026-06-22 09:35:54,WIN TAYLORMADE R7 QUAD MINI DRIVER #19,3.75,249,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 FAIRWAY WOOD #96,1.75,449,0,0.0,0.0
2026-06-22 09:35:54,WIN TAYLORMADE P SERIES UDI #11,0.44,1199,0,0.0,0.0
2026-06-22 09:35:54,WIN CUSTOM MG5 BLACKOUT WEDGES W/KBS BLACK SHAFT #31,3.75,329,0,0.0,0.0
2026-06-22 09:35:54,WIN CALLAWAY OPUS SP BRUSHED CHROME WEDGES #5,3.75,2499,0,0.0,0.0
2026-06-22 09:35:54,WIN TAYLORMADE SPIDER 5K ZT PUTTER #79,0.75,1499,0,0.0,0.0
2026-06-22 09:35:54,WIN SCOTTY CAMERON PHANTOM #29,3.75,299,1,1.0,3.75
2026-06-22 09:35:54,WIN BUSHNELL TOUR V7 SHIFT #29,0.37,2799,28,1.0,10.36
2026-06-22 09:35:54,WIN 2026 TAYLORMADE QI4D STAFF STAND #4,0.17,5399,0,0.0,0.0
2026-06-22 09:35:54,WIN 4 DOZEN PROV1X #83,0.75,699,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 TITLEIST SHORT GAME BLACK BUNDLE #4,2.4,899,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 PING G440 K WOODS BUNDLE #44,0.69,3999,0,0.0,0.0
2026-06-22 09:35:54,WIN LTD EDITION TAYLORMADE P790 SHADOWFALL IRONS (5-PW) #11,3.75,699,0,0.0,0.0
2026-06-22 09:35:54,WIN POWAKADDY RX REMOTE #7,0.33,6999,0,0.0,0.0
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #368,3.75,329,0,0.0,0.0
2026-06-22 09:35:54,WIN NEW 2026 DRIVER #367,0.65,1849,0,0.0,0.0
2026-06-22 09:35:54,WIN LTD EDITION CALLAWAY QUANTIUM WORLD CUP MINI DRIVER #2,3.75,299,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 VOKEY SM11 CHROME WEDGES #41,0.55,2199,0,0.0,0.0
2026-06-22 09:35:54,WIN TAYLORMADE MG5 CHROME WEDGES #78,1.65,699,0,0.0,0.0
2026-06-22 09:35:54,WIN SCOTTY CAMERON STUDIO STYLE #131,0.65,1649,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 ODYSSEY DAMASCUS MILLED #12,3.75,289,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 TAYLORMADE SPIDER TOUR X TORCHED PUTTER #9,3.75,2999,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 FAIRWAY WOOD #97,0.75,1049,0,0.0,0.0
2026-06-22 09:35:54,WIN SHOTSCOPE LM1 LAUNCH MONITOR #27,1.75,349,0,0.0,0.0
2026-06-22 09:35:54,WIN 2026 CALLAWAY QUANTUM STAFF STAND #4,0.17,5399,23,1.0,3.91
2026-06-22 09:35:54,WIN 4 DOZEN PROV1 GOLF BALLS #99,0.65,799,0,0.0,0.0
2026-06-22 04:22:12,WIN 2026 TAYLORMADE £7.5K MEGA BUNDLE #18,0.66,23999,268,1.0,176.88
2026-06-22 04:22:12,MAJOR INSTANT WIN – 2026 THIRD MAJOR #1,3.75,39999,9895,25.0,37106.25
2026-06-22 04:22:12,WIN A RANGE ROVER SPORT + £3K TITLEIST BUNDLE + £2K TAX FREE CASH #1,0.75,164999,27551,17.0,20663.25
2026-06-22 04:22:12,JUMBO JUNE INSTANT WIN #1,2.5,249999,51196,20.0,127990.0
2026-06-22 04:22:12,THE BIG CLEARANCE INSTANT WIN COMP – 50% OFF – £150K WORTH OF PRIZES #1,0.85,299999,158944,53.0,135102.4
2026-06-22 04:22:12,FREE TO PLAY: WIN A PLACE TO PLAY AT BLITZ GOLF LINCOLN #1,0.0,4999,180,4.0,0.0
2026-06-22 04:22:12,WIN TAYLORMADE SPIDER TOUR BLACK PUTTER #143,0.22,2999,886,30.0,194.92
2026-06-22 04:22:12,WIN 2026 VOKEY SM11 NICKEL WEDGES #41,3.33,359,83,23.0,276.39
2026-06-22 04:22:12,FREE TO PLAY: WIN A TAYLORMADE QI4D MEGA BUNDLE (BLITZ GOLF GIVEAWAY) #1,0.0,9999,1364,14.0,0.0
2026-06-22 04:22:12,WIN 2 X VIP TICKETS TO CADDY COMPS BLITZ GOLF ENGLAND SERIES – LINCOLN EVENT #4,0.0,4999,1056,21.0,0.0
2026-06-22 04:22:12,WIN 2026 TAYLORMADE QI4D DRIVER #42,3.75,329,48,15.0,180.0
2026-06-22 04:22:12,WIN 2026 PING G440 £3K MEGA BUNDLE #22,0.67,10999,1195,11.0,800.65
2026-06-22 04:22:12,"WIN 2026 TAYLORMADE QI4D WOODS (DRIVER, FW, HYBRID) #59",3.75,679,84,12.0,315.0
2026-06-22 04:22:12,WIN POWAKADDY FX1 ELECTRIC TROLLEY #118,0.33,3999,750,19.0,247.5
2026-06-22 04:22:12,WIN TAYLORMADE P790 IRONS (5-PW) #273,0.65,3599,718,20.0,466.7
2026-06-22 04:22:12,WIN NEW 2026 DRIVER #354,3.75,329,23,7.0,86.25
2026-06-22 04:22:12,WIN NEW 2026 DRIVER #353,0.33,3599,234,7.0,77.22
2026-06-22 04:22:12,WIN TAYLORMADE MG5 CHROME WEDGES #74,0.38,2999,243,8.0,92.34
2026-06-22 04:22:12,WIN 2026 FAIRWAY WOOD #94,0.75,1049,117,11.0,87.75
2026-06-22 04:22:12,WIN 2026 TAYLORMADE SPIDER TOUR X TORCHED PUTTER #6,0.25,2999,791,26.0,197.75
2026-06-22 04:22:12,WIN TAYLORMADE SPIDER 5K ZT PUTTER #77,3.75,299,28,9.0,105.0
2026-06-22 04:22:12,WIN SCOTTY CAMERON STUDIO STYLE #127,0.65,1649,70,4.0,45.5
2026-06-22 04:22:12,WIN GARMIN Z30 RANGEFINDER #6,2.65,299,27,9.0,71.55
2026-06-22 04:22:12,WIN OGIO FUSE STAND #15,0.65,799,113,14.0,73.45
2026-06-22 04:22:12,WIN 4 DOZEN PROV1 GOLF BALLS #97,0.65,799,109,14.0,70.85
2026-06-22 04:22:12,FREE TO PLAY: WIN A PLACE TO PLAY AT BLITZ GOLF LONDON #1,0.0,4999,226,5.0,0.0
2026-06-22 04:22:12,WIN 2026 PING S259 CHROME WEDGES #6,3.75,319,0,0.0,0.0
2026-06-22 04:22:12,WIN 2026 TAYLORMADE SPIDER TOUR TORCHED PUTTER #4,0.25,2999,84,3.0,21.0
2026-06-22 04:22:12,WIN 2026 TITLEIST GTS DRIVER #10,3.75,329,7,2.0,26.25
2026-06-22 04:22:12,WIN 2026 TAYLORMADE QI4D £3K BUNDLE #37,0.33,21999,709,3.0,233.97
2026-06-22 04:22:12,WIN 2026 PING G440 K WOODS BUNDLE #43,0.69,3999,65,2.0,44.85
2026-06-22 04:22:12,WIN 2026 TITLEIST SHORT GAME BUNDLE (SS) #14,3.6,599,6,1.0,21.6
2026-06-22 04:22:12,WIN TAYLORMADE P790 IRONS (5-PW) #274,0.33,7199,263,4.0,86.79
2026-06-22 04:22:12,WIN MOTOCADDY M5 GPS #2,0.33,7499,315,4.0,103.95
2026-06-22 04:22:12,WIN NEW 2026 DRIVER #357,3.75,329,4,1.0,15.0
2026-06-22 04:22:12,WIN NEW 2026 DRIVER #356,0.75,1599,3,1.0,2.25
2026-06-22 04:22:12,WIN NEW 2026 DRIVER #355,0.15,7999,72,1.0,10.8
2026-06-22 04:22:12,WIN SHOTSCOPE LM1 LAUNCH MONITOR #26,1.75,349,1,1.0,1.75
2026-06-22 04:22:12,WIN 2026 VOKEY SM11 CHROME WEDGES #39,0.55,2199,67,3.0,36.85
2026-06-22 04:22:12,WIN CUSTOM MG5 BLACKOUT WEDGES W/KBS BLACK SHAFT #30,1.55,799,1,1.0,1.55
2026-06-22 04:22:12,WIN 2026 ODYSSEY DAMASCUS MILLED #11,1.55,3099,6,1.0,9.3
2026-06-22 04:22:12,WIN L.A.B DF3 #65,3.35,329,4,1.0,13.4
2026-06-22 04:22:12,WIN SCOTTY CAMERON STUDIO STYLE #128,0.55,1999,25,1.0,13.75
2026-06-22 04:22:12,WIN TAYLORMADE P SERIES UDI #10,0.22,2199,64,3.0,14.08
2026-06-22 04:22:12,WIN GARMIN S44 GPS #101,3.25,259,13,5.0,42.25
2026-06-22 04:22:12,WIN TITLEIST PLAYERS S4 #4,0.25,1799,21,1.0,5.25
2026-06-22 04:22:12,WIN 4 DOZEN TAYLORMADE TP5X PIX #19,0.85,599,53,9.0,45.05
2026-06-22 04:22:12,WIN 2026 PING G440K DRIVER #30,3.75,339,1,1.0,3.75
2026-06-22 04:22:12,WIN 2026 VOKEY SM11 NICKEL WEDGES #42,3.33,359,1,1.0,3.33
2026-06-22 04:22:12,WIN 2026 TAYLORMADE SPIDER TOUR TORCHED PUTTER #5,0.25,2999,26,1.0,6.5
2026-06-22 04:22:12,WIN 2026 TITLEIST GTS £3K MEGA BUNDLE #8,0.85,8999,191,2.0,162.35
2026-06-22 04:22:12,WIN 2026 TAYLORMADE SHORT GAME BUNDLE #3,0.33,5499,4,1.0,1.32
2026-06-22 04:22:12,WIN NAVEE BIRDIE 3 REMOTE #26,3.75,499,6,1.0,22.5
2026-06-22 04:22:12,WIN TAYLORMADE P790 IRONS (5-PW) #275,0.22,10999,107,1.0,23.54
2026-06-22 04:22:12,WIN NEW 2026 DRIVER #359,2.75,439,0,0.0,0.0
2026-06-22 04:22:12,WIN NEW 2026 DRIVER #358,0.15,7999,36,1.0,5.4
2026-06-22 04:22:12,WIN TAYLORMADE R7 QUAD MINI DRIVER #18,3.75,249,0,0.0,0.0
2026-06-22 04:22:12,WIN TAYLORMADE MG5 CHROME WEDGES #75,0.38,2999,44,1.0,16.72
2026-06-22 04:22:12,WIN 2026 TAYLORMADE SPIDER TOUR X TORCHED PUTTER #7,0.25,2999,82,3.0,20.5
2026-06-22 04:22:12,WIN L.A.B OZ1I HS #5,2.2,529,35,7.0,77.0
2026-06-22 04:22:12,WIN SCOTTY CAMERON STUDIO STYLE #129,0.55,1999,8,1.0,4.4
2026-06-22 04:22:12,WIN 2026 FAIRWAY WOOD #95,0.75,1049,3,1.0,2.25
2026-06-22 04:22:12,WIN BUSHNELL TOUR V7 SHIFT #28,3.75,279,0,0.0,0.0
2026-06-22 04:22:12,WIN 4 DOZEN PROV1X #82,0.33,1549,45,3.0,14.85
2026-06-22 04:22:12,WIN 2026 TAYLORMADE QI4D DRIVER #43,3.75,329,0,0.0,0.0
2026-06-22 04:22:12,WIN TAYLORMADE SPIDER TOUR BLACK PUTTER #144,3.75,199,1,1.0,3.75
2026-06-22 04:22:12,WIN 2026 VOKEY SM11 CHROME WEDGES #40,0.55,2199,0,0.0,0.0
2026-06-22 04:22:12,WIN 2026 TAYLORMADE QI4D £3K BUNDLE W/P790 IRONS #2,1.75,3999,11,1.0,19.25
